City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
459,Fortuna,US,77.41,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
461,Buchanan,LR,75.92,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
463,Xiaoweizhai,CN,71.83,overcast clouds,26.1903,107.5125,Karst Youth Hostel
464,Kalat,PK,66.85,few clouds,29.0225,66.5916,PHE Rest House
465,Imuris,MX,86.45,broken clouds,30.7833,-110.8667,"SINAÍ DE ÍMURIS CASA HOGAR, A.C."
466,Capreol,CA,77.47,scattered clouds,46.706,-80.9225,
467,Gold Coast,AU,69.04,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
471,Sile,TR,72.27,clear sky,41.1754,29.6133,Phellos Suites
475,Puerto Narino,CO,84.15,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
477,Moose Factory,CA,78.8,clear sky,51.2585,-80.6094,Moosonee Lilypad
478,Panguna,PG,77.56,overcast clouds,-6.3164,155.4848,
480,Kasongo-Lunda,CD,77.05,broken clouds,-6.4667,16.8167,
481,Yeppoon,AU,69.58,clear sky,-23.1333,150.7333,Villa Mar Colina
483,Ilebo,CD,82.18,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
484,Jiamusi,CN,71.92,few clouds,46.8333,130.35,Riversky Hotel
487,Dambulla,LK,75.69,overcast clouds,7.86,80.6517,Tinaya Treats
489,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
492,Boende,CD,75.47,broken clouds,-0.2167,20.8667,
494,Salinopolis,BR,79.79,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
496,Koutsouras,GR,76.14,clear sky,35.0339,25.9469,The White Houses
502,Marsh Harbour,BS,83.48,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
504,Galle,LK,77.83,overcast clouds,6.0367,80.217,Amangalla
508,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
510,Vao,NC,68.13,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
511,Daru,PG,77.63,broken clouds,-9.0763,143.2092,Daru Lodge
512,Ippy,CF,66.99,broken clouds,6.2679,21.2247,
515,Kavaratti,IN,81.07,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
518,Seoul,KR,76.39,clear sky,37.5683,126.9778,롯데호텔 서울
523,Lewistown,US,77.79,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
528,Yichun,CN,66.65,clear sky,47.7,128.9,锦江酒店
529,Sagua La Grande,CU,86.99,broken clouds,22.8067,-80.0756,Hotel Telégrafo
530,Athabasca,CA,69.62,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
531,Kudahuvadhoo,MV,81.45,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
