City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Bayanday,RU,2021-08-13 04:09:25,53.0661,105.5139,77.54,46,27,3.85
277,Aurora,US,2021-08-13 04:06:23,39.7294,-104.8319,78.67,47,75,4.0
278,Ust-Tsilma,RU,2021-08-13 04:09:25,65.441,52.1498,60.8,97,100,5.53
279,Wladyslawowo,PL,2021-08-13 04:09:26,54.7909,18.4009,58.93,76,21,5.91
280,Ponta Do Sol,PT,2021-08-13 04:09:26,32.6667,-17.1,72.23,81,7,3.18
281,Grand-Santi,GF,2021-08-13 04:09:27,4.25,-54.3833,73.04,97,99,1.63
282,Khash,IR,2021-08-13 04:09:27,28.2211,61.2158,85.84,8,71,6.11
283,Torbay,CA,2021-08-13 04:05:28,47.6666,-52.7314,59.58,86,100,1.99
284,San Quintin,MX,2021-08-13 04:09:28,30.4833,-115.95,73.2,76,0,5.55
285,Srednekolymsk,RU,2021-08-13 04:09:29,67.45,153.6833,71.53,55,98,7.25
286,Amazar,RU,2021-08-13 04:09:30,53.858,120.875,74.32,43,80,3.74
287,Watsa,CD,2021-08-13 04:09:30,3.0372,29.5355,61.32,99,22,2.21
288,Sitka,US,2021-08-13 04:09:30,57.0531,-135.33,64.29,82,90,8.05
289,Vila Velha,BR,2021-08-13 04:09:31,-20.3297,-40.2925,67.95,100,40,3.44
290,Saskylakh,RU,2021-08-13 04:09:31,71.9167,114.0833,47.44,71,100,9.6
291,Sydney Mines,CA,2021-08-13 04:09:32,46.2367,-60.2177,70.68,96,89,5.01
292,Bereda,ES,2021-08-13 04:09:32,43.2686,-7.5406,58.75,100,83,3.56
