City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
123,kloulklubed,PW,2021-08-15 19:21:13,7.0419,134.2556,77.5,71,24,9.33,few clouds,0.0,0
124,buchanan,LR,2021-08-15 19:21:13,5.8808,-10.0467,76.48,73,95,6.91,overcast clouds,0.0,0
125,beloha,MG,2021-08-15 19:21:13,-25.1667,45.05,61.18,72,4,12.97,clear sky,0.0,0
126,half moon bay,US,2021-08-15 19:21:14,37.4636,-122.4286,91.58,71,1,1.01,clear sky,0.0,0
127,zelenoborsk,RU,2021-08-15 19:21:14,61.4669,64.0333,59.22,72,1,3.91,clear sky,0.0,0
128,arraial do cabo,BR,2021-08-15 19:21:14,-22.9661,-42.0278,71.56,78,40,12.66,scattered clouds,0.0,0
129,codrington,AU,2021-08-15 19:21:15,-38.2667,141.9667,50.31,71,9,17.78,clear sky,0.0,0
130,dzhebariki-khaya,RU,2021-08-15 19:21:15,62.2167,135.8,58.73,96,100,3.44,light rain,0.0,0
131,plettenberg bay,ZA,2021-08-15 19:21:15,-34.0527,23.3716,58.08,73,0,4.99,clear sky,0.0,0
132,sao felix do xingu,BR,2021-08-15 19:21:16,-6.6447,-51.995,99.61,17,31,3.24,scattered clouds,0.0,0
133,khatanga,RU,2021-08-15 19:21:16,71.9667,102.5,55.51,55,100,12.15,overcast clouds,0.0,0
134,stromness,GB,2021-08-15 19:21:16,58.965,-3.296,52.05,87,99,10.0,overcast clouds,0.0,0
135,ketchikan,US,2021-08-15 19:21:17,55.3422,-131.6461,58.84,68,68,5.23,light rain,0.0,0
136,kavaratti,IN,2021-08-15 19:21:17,10.5669,72.642,81.14,80,99,17.16,overcast clouds,0.0,0
137,avarua,CK,2021-08-15 19:21:17,-21.2078,-159.775,75.25,69,20,10.36,few clouds,0.0,0
138,at-bashi,KG,2021-08-15 19:21:18,41.1702,75.8106,47.62,49,28,2.59,scattered clouds,0.0,0
139,isangel,VU,2021-08-15 19:21:18,-19.55,169.2667,60.91,94,75,2.3,broken clouds,0.0,0
140,zephyrhills,US,2021-08-15 19:18:30,28.2336,-82.1812,87.12,75,1,8.05,clear sky,0.0,0
141,margate,GB,2021-08-15 19:21:18,51.3813,1.3862,67.91,71,8,4.0,clear sky,0.0,0
142,alta floresta,BR,2021-08-15 19:21:19,-9.8756,-56.0861,98.42,25,40,3.44,scattered clouds,0.0,0
143,samfya,ZM,2021-08-15 19:21:19,-11.3649,29.5565,70.0,44,54,11.72,broken clouds,0.0,0
144,benevides,BR,2021-08-15 19:20:09,-1.3614,-48.2447,85.8,93,100,3.38,overcast clouds,0.0,0
145,borogontsy,RU,2021-08-15 19:21:20,62.6683,131.1683,57.6,97,67,4.05,broken clouds,0.0,0
146,coahuayana,MX,2021-08-15 19:21:20,18.7333,-103.6833,89.08,54,57,5.97,broken clouds,0.0,0
147,luanda,AO,2021-08-15 19:17:43,-8.8368,13.2343,73.4,83,20,11.5,few clouds,0.0,0
148,verkhniye tatyshly,RU,2021-08-15 19:21:20,56.2912,55.8575,62.96,76,90,5.55,overcast clouds,0.0,0
149,chuy,UY,2021-08-15 19:21:21,-33.6971,-53.4616,60.73,84,55,4.14,broken clouds,0.0,0
150,saint-georges,GD,2021-08-15 19:21:21,12.0564,-61.7485,85.68,74,75,14.97,broken clouds,0.0,0
151,aleksandrovsk-sakhalinskiy,RU,2021-08-15 19:21:22,50.8975,142.1561,53.49,92,68,10.51,broken clouds,0.0,0
152,nanortalik,GL,2021-08-15 19:21:22,60.1432,-45.2371,49.66,94,100,10.29,light rain,0.0,0
153,srednekolymsk,RU,2021-08-15 19:21:22,67.45,153.6833,43.27,69,100,3.51,overcast clouds,0.0,0
154,ponta do sol,PT,2021-08-15 19:21:23,32.6667,-17.1,83.03,49,7,5.41,clear sky,0.0,0
155,cayenne,GF,2021-08-15 19:21:23,4.9333,-52.3333,82.44,83,0,1.01,clear sky,0.0,0
156,pevek,RU,2021-08-15 19:21:23,69.7008,170.3133,32.67,99,100,4.99,light snow,0.0,0
157,voloshka,RU,2021-08-15 19:21:24,61.3314,40.0858,55.9,96,95,5.19,overcast clouds,0.0,0
158,jiangkou,CN,2021-08-15 19:21:24,25.4872,119.1986,80.49,92,10,6.31,clear sky,0.0,0
159,saint george,US,2021-08-15 19:21:24,37.1041,-113.5841,102.63,28,1,1.01,clear sky,0.0,0
160,luganville,VU,2021-08-15 19:21:25,-15.5333,167.1667,74.52,81,74,15.48,broken clouds,0.0,0
